timestamp,memory_used_mib,utilization_gpu_pct,power_draw_w,temperature_c
2026/07/30 14:32:33.615, 24271, 63, 176.07, 47
2026/07/30 14:32:35.616, 24271, 63, 165.20, 47
2026/07/30 14:32:37.616, 24271, 63, 167.96, 47
2026/07/30 14:32:39.616, 24271, 64, 167.96, 47
2026/07/30 14:32:41.616, 24271, 64, 169.51, 47
2026/07/30 14:32:43.617, 24271, 65, 167.02, 47
2026/07/30 14:32:45.617, 24271, 64, 171.66, 47
2026/07/30 14:32:47.617, 24271, 65, 165.31, 47
2026/07/30 14:32:49.617, 24271, 65, 161.93, 47
2026/07/30 14:32:51.618, 24271, 65, 163.15, 47
2026/07/30 14:32:53.618, 24271, 65, 169.34, 47
2026/07/30 14:32:55.618, 24271, 65, 167.35, 47
2026/07/30 14:32:57.618, 24271, 65, 171.00, 47
2026/07/30 14:32:59.619, 24271, 64, 167.35, 47
2026/07/30 14:33:01.619, 24271, 65, 167.62, 47
2026/07/30 14:33:03.619, 24271, 65, 170.11, 47
2026/07/30 14:33:05.619, 24271, 65, 165.03, 47
2026/07/30 14:33:07.620, 24271, 63, 161.93, 47
2026/07/30 14:33:09.620, 24271, 63, 162.88, 47
2026/07/30 14:33:11.620, 24271, 64, 163.76, 47
2026/07/30 14:33:13.620, 24271, 64, 166.08, 47
2026/07/30 14:33:15.621, 24271, 63, 161.44, 47
2026/07/30 14:33:17.621, 24271, 63, 167.28, 46
2026/07/30 14:33:19.621, 24271, 64, 164.53, 45
2026/07/30 14:33:21.621, 24271, 64, 165.30, 44
2026/07/30 14:33:23.622, 24271, 64, 161.44, 44
2026/07/30 14:33:25.622, 24271, 64, 164.53, 43
2026/07/30 14:33:27.622, 24271, 64, 159.30, 42
2026/07/30 14:33:29.622, 24271, 62, 159.46, 41
2026/07/30 14:33:31.623, 24271, 64, 160.06, 41
2026/07/30 14:33:33.623, 24271, 65, 161.00, 40
2026/07/30 14:33:35.623, 24271, 65, 160.67, 40
2026/07/30 14:33:37.623, 24271, 65, 161.60, 39
2026/07/30 14:33:39.624, 24271, 65, 164.09, 39
2026/07/30 14:33:41.624, 24271, 66, 160.06, 39
2026/07/30 14:33:43.624, 24271, 70, 159.13, 38
2026/07/30 14:33:45.624, 24271, 69, 158.52, 38
2026/07/30 14:33:47.625, 24271, 63, 158.68, 38
2026/07/30 14:33:49.625, 24271, 63, 157.81, 38
2026/07/30 14:33:51.625, 24271, 63, 158.68, 37
2026/07/30 14:33:53.625, 24271, 63, 158.08, 37
2026/07/30 14:33:55.626, 24271, 64, 160.73, 37
2026/07/30 14:33:57.626, 24271, 64, 170.38, 37
2026/07/30 14:33:59.626, 24271, 63, 156.87, 37
2026/07/30 14:34:01.627, 24271, 62, 151.35, 37
2026/07/30 14:34:03.627, 24271, 64, 157.81, 37
2026/07/30 14:34:05.627, 24271, 64, 159.18, 37
2026/07/30 14:34:07.627, 24271, 64, 158.57, 37
2026/07/30 14:34:09.628, 24271, 64, 160.12, 37
2026/07/30 14:34:11.628, 24271, 63, 161.77, 37
2026/07/30 14:34:13.628, 24271, 64, 159.95, 37
2026/07/30 14:34:15.628, 24271, 65, 160.28, 37
2026/07/30 14:34:17.629, 24271, 65, 159.46, 37
2026/07/30 14:34:19.629, 24271, 65, 155.81, 38
2026/07/30 14:34:21.629, 24271, 66, 157.63, 38
2026/07/30 14:34:23.629, 24271, 66, 160.89, 38
2026/07/30 14:34:25.630, 24271, 68, 160.55, 38
2026/07/30 14:34:27.630, 24271, 63, 156.25, 39
2026/07/30 14:34:29.630, 24271, 63, 163.04, 39
2026/07/30 14:34:31.630, 24271, 64, 161.17, 39
2026/07/30 14:34:33.631, 24271, 63, 163.04, 39
2026/07/30 14:34:35.631, 24271, 63, 156.86, 40
2026/07/30 14:34:37.631, 24271, 64, 155.48, 40
2026/07/30 14:34:39.631, 24271, 64, 159.01, 40
2026/07/30 14:34:41.632, 24271, 64, 159.62, 40
2026/07/30 14:34:43.632, 24271, 63, 161.77, 40
2026/07/30 14:34:45.632, 24271, 64, 160.28, 41
2026/07/30 14:34:47.632, 24271, 64, 162.10, 41
2026/07/30 14:34:49.633, 24271, 64, 164.59, 41
2026/07/30 14:34:51.633, 24271, 64, 163.04, 41
